2026-01-09 14:15:51.761 INFO  [19772] [CTimerProxy::Unregister@73] Unegister timer event,Handle[1]

2026-01-09 14:15:51.761 INFO  [19772] [CTimerProxy::Unregister@78] erase timer event,Handle[1] succ!!!

2026-01-09 14:15:51.761 INFO  [19772] [CTimerProxy::Unregister@86] Unegister timer event,Handle[1]---end

2026-01-09 14:15:51.761 INFO  [11552] [CMQCommBaseClient::UnegisterEvent@528] call unregister event. socket excpetion event id[8],Reconnect Event id[9],--client[000001694957E0D0]

2026-01-09 14:15:51.761 INFO  [11552] [CMQCommBaseClient::UnregisterHeartBeatTimer@556] call unregister heartbeat timer. timerid[-1],client[000001694957E0D0]

2026-01-09 14:15:51.761 INFO  [11552] [CMQCommRequire::~CMQCommRequire@19] call ~CMQCommRequire,this[000001694957E0D0]

2026-01-09 14:15:51.761 INFO  [11552] [CMQCommRequire::Disconnect@252] call disconnect to server,socket id[3340]

2026-01-09 14:15:51.761 INFO  [11552] [CMQCommBaseClient::Disconnect@317] inter Disconnect HPR_AtomicAdd is 0,this[000001694957E0D0]

2026-01-09 14:15:51.761 INFO  [11552] [CMQCommBaseClient::Disconnect@334] inter Disconnect ,this[000001694957E0D0]

2026-01-09 14:15:51.761 INFO  [11552] [CMQCommBaseClient::UnegisterEvent@528] call unregister event. socket excpetion event id[-1],Reconnect Event id[-1],--client[000001694957E0D0]

2026-01-09 14:15:51.761 INFO  [11552] [CMQCommBaseClient::UnregisterHeartBeatTimer@556] call unregister heartbeat timer. timerid[-1],client[000001694957E0D0]

2026-01-09 14:15:51.761 INFO  [11552] [CMQCommRequire::~CMQCommRequire@21] call ~CMQCommRequire,this[000001694957E0D0]---end

2026-01-09 14:15:51.761 INFO  [11552] [CMQCommBaseClient::~CMQCommBaseClient@154] call ~CMQCommBaseClient,this[000001694957E0D0]

2026-01-09 14:15:51.761 INFO  [11552] [CMQCommBaseClient::~CMQCommBaseClient@156] call ~CMQCommBaseClient,this[000001694957E0D0]xxxx

2026-01-09 14:15:51.761 INFO  [11552] [CMQCommBaseClient::Disconnect@317] inter Disconnect HPR_AtomicAdd is 0,this[000001694957E0D0]

2026-01-09 14:15:51.761 INFO  [11552] [CMQCommBaseClient::Disconnect@334] inter Disconnect ,this[000001694957E0D0]

2026-01-09 14:15:51.761 INFO  [11552] [CMQCommBaseClient::UnegisterEvent@528] call unregister event. socket excpetion event id[-1],Reconnect Event id[-1],--client[000001694957E0D0]

2026-01-09 14:15:51.761 INFO  [11552] [CMQCommBaseClient::UnregisterHeartBeatTimer@556] call unregister heartbeat timer. timerid[-1],client[000001694957E0D0]

2026-01-09 14:15:51.761 INFO  [11552] [CMQCommBaseClient::~CMQCommBaseClient@182] call ~CMQCommBaseClient,this[000001694957E0D0]---end

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommRequire::Disconnect@252] call disconnect to server,socket id[-1]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::Disconnect@317] inter Disconnect HPR_AtomicAdd is 0,this[000001694957C760]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::Disconnect@334] inter Disconnect ,this[000001694957C760]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::UnegisterEvent@528] call unregister event. socket excpetion event id[6],Reconnect Event id[7],--client[000001694957C760]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::UnregisterHeartBeatTimer@556] call unregister heartbeat timer. timerid[-1],client[000001694957C760]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommRequire::~CMQCommRequire@19] call ~CMQCommRequire,this[000001694957C760]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommRequire::Disconnect@252] call disconnect to server,socket id[-1]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::Disconnect@317] inter Disconnect HPR_AtomicAdd is 0,this[000001694957C760]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::Disconnect@334] inter Disconnect ,this[000001694957C760]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::UnegisterEvent@528] call unregister event. socket excpetion event id[-1],Reconnect Event id[-1],--client[000001694957C760]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::UnregisterHeartBeatTimer@556] call unregister heartbeat timer. timerid[-1],client[000001694957C760]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommRequire::~CMQCommRequire@21] call ~CMQCommRequire,this[000001694957C760]---end

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::~CMQCommBaseClient@154] call ~CMQCommBaseClient,this[000001694957C760]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::~CMQCommBaseClient@156] call ~CMQCommBaseClient,this[000001694957C760]xxxx

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::Disconnect@317] inter Disconnect HPR_AtomicAdd is 0,this[000001694957C760]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::Disconnect@334] inter Disconnect ,this[000001694957C760]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::UnegisterEvent@528] call unregister event. socket excpetion event id[-1],Reconnect Event id[-1],--client[000001694957C760]

